step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
298,CASH_OUT,191736.27,C2047049181,10691.0,0.0,C1088730989,223085.81,414822.08,0,0
400,PAYMENT,2792.56,C1490923288,0.0,0.0,M360431677,0.0,0.0,0,0
284,TRANSFER,305332.47,C2140032342,0.0,0.0,C130608700,1055432.8,1360765.28,0,0
206,CASH_OUT,258177.61,C1614314317,242244.0,0.0,C1434824588,0.0,258177.61,0,0
76,TRANSFER,9917.27,C1267158518,9917.27,0.0,C1985253789,0.0,0.0,1,0
397,CASH_OUT,206788.3,C1774499879,20472.0,0.0,C1387750261,7978169.76,8184958.06,0,0
45,CASH_OUT,95860.69,C609665997,53182.22,0.0,C432809323,0.0,95860.69,0,0
378,TRANSFER,1068646.69,C32472041,0.0,0.0,C1931084535,10546637.81,11615284.51,0,0
321,CASH_OUT,23885.48,C133215529,0.0,0.0,C465969836,26540.28,50425.76,0,0
332,CASH_IN,57137.57,C2142280513,939132.4,996269.98,C420197912,2031830.17,1974692.6,0,0
132,PAYMENT,1963.79,C1248723066,149447.0,147483.21,M1081872866,0.0,0.0,0,0
284,CASH_OUT,22982.32,C481436046,0.0,0.0,C1570480348,47780.77,70763.09,0,0
646,TRANSFER,10000000.0,C590657619,50399045.08,40399045.08,C1971187430,0.0,0.0,1,0
180,PAYMENT,1329.92,C1769245741,114848.59,113518.66,M1283531070,0.0,0.0,0,0
371,PAYMENT,30689.95,C1145606545,427534.14,396844.19,M371141365,0.0,0.0,0,0
385,CASH_OUT,617882.66,C274955922,617882.66,0.0,C575981096,171914.08,789796.74,1,0
619,CASH_OUT,208636.92,C1712249771,0.0,0.0,C586711602,13551930.88,13760567.81,0,0
133,CASH_IN,291587.56,C365919624,3431299.33,3722886.89,C666175161,4393301.71,4101714.15,0,0
278,PAYMENT,9078.66,C1743676492,51704.0,42625.34,M557572771,0.0,0.0,0,0
372,CASH_OUT,587272.44,C433586595,47470.76,0.0,C1051561989,1391153.67,1978426.1,0,0
351,PAYMENT,9559.79,C809913871,0.0,0.0,M46761112,0.0,0.0,0,0
162,PAYMENT,5281.35,C2060640282,0.0,0.0,M175271062,0.0,0.0,0,0
139,TRANSFER,375141.86,C797411112,375141.86,0.0,C1969431607,0.0,0.0,1,0
370,CASH_IN,99182.48,C587658525,689357.88,788540.37,C2111259722,222922.13,123739.65,0,0
130,CASH_OUT,374232.53,C828046530,0.0,0.0,C757659232,3960944.07,4335176.6,0,0
181,CASH_OUT,262247.82,C62243584,144.0,0.0,C821652941,1203652.29,1465900.12,0,0
404,PAYMENT,1517.6,C516107607,26124.0,24606.4,M2138113431,0.0,0.0,0,0
156,CASH_OUT,365368.53,C1062741705,0.0,0.0,C1387910543,437095.53,802464.06,0,0
695,CASH_OUT,132626.05,C1907608231,283175.66,150549.6,C1175313108,311144.26,443770.32,0,0
139,CASH_IN,99928.83,C1084412722,12810701.54,12910630.37,C1349621390,154476.19,54547.37,0,0
505,PAYMENT,7922.13,C1607978985,10418.0,2495.87,M510505636,0.0,0.0,0,0
303,CASH_IN,127099.12,C317141801,24173194.55,24300293.67,C1701398402,367270.17,240171.05,0,0
331,PAYMENT,14384.98,C1851116999,0.0,0.0,M1704693132,0.0,0.0,0,0
332,CASH_OUT,64178.64,C1689071289,0.0,0.0,C1170487862,69462.66,133641.3,0,0
307,PAYMENT,866.65,C499598198,13454.0,12587.35,M484296290,0.0,0.0,0,0
211,CASH_OUT,55920.39,C1899996143,55920.39,0.0,C1567322020,0.0,55920.39,1,0
161,CASH_OUT,553511.4,C1147871054,267.0,0.0,C1827557119,214006.0,2506354.8,0,0
211,PAYMENT,3564.25,C1364674073,334190.0,330625.75,M2091437907,0.0,0.0,0,0
403,CASH_OUT,76856.12,C896026831,266.0,0.0,C1143007313,15158.85,92014.96,0,0
95,PAYMENT,3294.32,C427877458,0.0,0.0,M1265236035,0.0,0.0,0,0
233,CASH_OUT,7636.68,C284676270,0.0,0.0,C1218266679,86557.06,94193.74,0,0
167,PAYMENT,1407.01,C833454035,24996.0,23588.99,M636934910,0.0,0.0,0,0
252,CASH_OUT,75288.7,C515264716,0.0,0.0,C1440614380,416885.49,492174.19,0,0
301,CASH_IN,367773.99,C1393538936,21514.0,389287.99,C101728188,0.0,0.0,0,0
396,PAYMENT,2212.59,C780869501,0.0,0.0,M490256724,0.0,0.0,0,0
335,CASH_OUT,205662.44,C988757128,29887.0,0.0,C944240643,290510.85,496173.28,0,0
43,CASH_OUT,77292.16,C765905105,0.0,0.0,C859373481,906418.07,983710.23,0,0
