number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_num_leaves,params_scale_pos_weight,user_attrs_best_iter,state
0,0.532727400009202,2026-06-15 03:50:12.361040,2026-06-15 03:50:16.023742,0 days 00:00:03.662702,0.7993292420985183,2,0.8659969709057025,3.3323645788192616e-08,0.6245760287469887,0.26251660632419294,35,57,34.433322372802486,44,COMPLETE
1,0.5370087491852508,2026-06-15 03:50:16.023807,2026-06-15 03:50:21.976979,0 days 00:00:05.953172,0.9162213204002109,2,0.9849549260809971,4.4734294104626844e-07,5.472429642032189e-06,0.021146536167031597,40,95,30.18634637834813,300,COMPLETE
2,0.5665081234396706,2026-06-15 03:50:21.977013,2026-06-15 03:50:26.058379,0 days 00:00:04.081366,0.569746930326021,3,0.8059264473611898,0.00012724181576752517,0.11656915613247415,0.04400905486948213,76,64,12.105625043263776,288,COMPLETE
3,0.5593484876226034,2026-06-15 03:50:26.058415,2026-06-15 03:50:32.517721,0 days 00:00:06.459306,0.8037724259507192,2,0.5232252063599989,3.4671276804481113,4.905556676028766,0.09948637159577052,17,73,45.962126409915975,270,COMPLETE
4,0.5445900716530229,2026-06-15 03:50:32.517781,2026-06-15 03:50:42.310251,0 days 00:00:09.792470,0.7200762468698007,1,0.8421165132560784,2.039373116525212e-08,1.5271567592511939,0.026055614206180563,102,49,15.393043559785973,299,COMPLETE
5,0.5570634838727793,2026-06-15 03:50:42.310299,2026-06-15 03:50:57.003324,0 days 00:00:14.693025,0.7733551396716398,2,0.7600340105889054,0.0946663015372686,2.8542399074977594,0.04651903184482423,195,90,50.76926326975276,300,COMPLETE
6,0.5368020695157387,2026-06-15 03:50:57.003403,2026-06-15 03:50:59.469838,0 days 00:00:02.466435,0.5979914312095727,1,0.5442462510259598,3.148441347423712e-05,2.7678419414850017e-06,0.24279415391108747,68,83,47.093422663924734,104,COMPLETE
7,0.5528133674795707,2026-06-15 03:50:59.469881,2026-06-15 03:51:02.557781,0 days 00:00:03.087900,0.5704621124873813,6,0.7713480415791243,7.6204817861585425,0.08916674715636552,0.04279909806035244,19,55,12.05233659361893,230,COMPLETE
8,0.5196889551121168,2026-06-15 03:51:02.557820,2026-06-15 03:51:03.497779,0 days 00:00:00.939959,0.8645035840204937,6,0.8534286719238086,1.683416412018213e-05,1.1036250149900698e-07,0.18200656518517191,19,15,49.004815242737884,116,COMPLETE
9,0.5665010883907762,2026-06-15 03:51:03.497807,2026-06-15 03:51:08.833913,0 days 00:00:05.336106,0.6554911608578311,3,0.5317791751430119,0.005470376807480385,0.9658611176861261,0.049000021471310044,148,86,27.264048499478545,292,COMPLETE
10,0.5882501571037345,2026-06-15 03:51:08.833942,2026-06-15 03:51:13.135888,0 days 00:00:04.301946,0.5089809378074098,4,0.6492639032759127,0.0008421907750901961,0.00220909817911223,0.09705308196354136,117,123,3.89265654703963,198,COMPLETE
11,0.5887716108895754,2026-06-15 03:51:13.135921,2026-06-15 03:51:18.163936,0 days 00:00:05.028015,0.5100206181211627,4,0.6470462496229467,0.0007209096486849854,0.003692879938559122,0.09495536868553157,99,128,1.2710494908038017,240,COMPLETE
12,0.5925072457896695,2026-06-15 03:51:18.163967,2026-06-15 03:51:22.903172,0 days 00:00:04.739205,0.5035526032862813,5,0.6521688656512927,0.0017861573907983698,0.0004968882608173794,0.10433166951974691,127,125,1.1729291315387036,230,COMPLETE
13,0.5941014706945852,2026-06-15 03:51:22.903204,2026-06-15 03:51:26.363820,0 days 00:00:03.460616,0.5009228516288796,5,0.6559885293919353,0.02635641658582166,0.0009111310101133443,0.11659609120643093,143,128,2.0173879103248336,152,COMPLETE
14,0.5809010048905369,2026-06-15 03:51:26.363849,2026-06-15 03:51:29.684494,0 days 00:00:03.320645,0.9980084946806067,7,0.6820267717659231,0.06555865226778092,0.0006238942200866118,0.1406480113811505,153,109,7.3077087340057325,163,COMPLETE
15,0.5712286608125193,2026-06-15 03:51:29.684523,2026-06-15 03:51:31.908224,0 days 00:00:02.223701,0.6459833333024906,5,0.6019287654950947,0.06731626192644463,0.00013183640476201387,0.13106003223761792,147,111,19.846565609210916,101,COMPLETE
16,0.5811136539231297,2026-06-15 03:51:31.908254,2026-06-15 03:51:37.095353,0 days 00:00:05.187099,0.501235662060816,5,0.7121100662601941,0.008209330474269446,3.154443500139822e-05,0.07073177238214565,182,108,6.375742662102748,300,COMPLETE
17,0.5660199874104009,2026-06-15 03:51:37.095383,2026-06-15 03:51:40.482641,0 days 00:00:03.387258,0.6252080075998235,5,0.5977645606000611,0.5453729950764903,0.02001027879849431,0.06530950513518263,130,118,17.313140831065965,162,COMPLETE
