detection,n_pos,pr_auc,roc_auc,pauc_1pct,ks,gini,recall_at_2pct,f2_at_2pct,pr_auc_ci_lo,pr_auc_ci_hi
cert_score_iforest,1364,0.0215,0.7501,0.517,0.4893,0.5003,0.2119,0.1199,0.0194,0.0246
cert_score_zsum,1364,0.0341,0.7501,0.5595,0.4858,0.5002,0.2133,0.1212,0.0298,0.0399
cmu_keystroke_scaled_manhattan,51 users,,0.9512,,,,EER=0.0955,,,
ieee_txn_only,4064,0.5073,0.9086,0.6601,0.6621,0.8172,0.5052,0.4986,0.4922,0.5224
ieee_with_device,4064,0.5128,0.9069,0.6656,0.6524,0.8138,0.518,0.5099,0.4979,0.5283
ieee_with_device_identity_subset,2219,0.6866,0.9134,0.6543,0.6815,0.8267,0.562,0.5908,0.6673,0.7052
paysim_behavioral,1600,0.6812,0.9669,0.7889,0.7913,0.9337,0.7694,0.6366,0.6614,0.7022
paysim_full,1600,1.0,1.0,1.0,1.0,1.0,1.0,0.8069,1.0,1.0
rba_full_ip,56,0.0077,0.9623,0.8843,0.9167,0.9246,0.9107,0.0019,0.005,0.0118
rba_full_ipreputation_baseline,56,0.0,0.7345,0.5176,0.4689,0.4689,0.0,0.0,,
rba_full_noip,56,0.0077,0.9934,0.8888,0.9195,0.9869,0.9286,0.0019,0.0051,0.0118
rba_ip,56,0.0381,0.9648,0.8145,0.9242,0.9295,0.9286,0.0065,0.0174,0.1128
rba_ipreputation_baseline,56,0.0001,0.7337,0.5172,0.4675,0.4675,0.0,0.0,,
rba_noip,56,0.0175,0.9708,0.8017,0.9188,0.9416,0.8929,0.0062,0.0085,0.0481
